AC_TYPEID;AC_GROUP;SSD_NAME;MANUFACTURER;LONG_NAME;SHORT_NAME;BEGIN_DATE;END_DATE
80;0;PIPER PA-18;PIPER;PIPER PA-18 (SUPER-CUB);SUPERCUB;1-1-1990;
81;0;PIPER PA-14;PIPER;PIPER PA-14 (FAMILY-CRUISER);FAMCRUIS;1-1-1990;
82;0;PIPER PA-22;PIPER;PIPER PA-22 (TRI-PACER);TRIPACER;1-1-1990;
83;0;PIPER PA-24;PIPER;PIPER PA-24 (COMANCHE);COMANCHE;1-1-1990;
84;0;PIPER PA-28;PIPER;PIPER PA-28 (CHEROKEE);PA-28;1-1-1990;
86;0;PIPER PA-12;PIPER;PIPER PA-12 (SUPERCRUISER);PA-12;1-1-2002;
190;2;PIPER PA-23;PIPER;PIPER PA-23-250 (AZTEC/APACHE);AZTEC;1-1-1990;
193;2;PIPER T-1020;PIPER;PIPER T-1020;PA-T1020;1-1-1990;
194;2;PIPER PA-31/T-1020;PIPER;PIPER PA-31 (NAVAJO)/T-1020;NAVAJO;1-11-1996;
195;2;PIPER PA-34/39;PIPER;PIPER PA-34/39 (TWIN COMMANCHE);TWNCOMAN;1-1-1990;
476;4;PIPER PA-30/31T;PIPER;PIPER PA-30/31T CHEYENNE II XL;PA-31T;1-10-2002;
478;4;PIPER T-1040;PIPER;PIPER T-1040;PA-T1040;1-1-1990;
434;4;KING AIR A100;RAYTHEON;RAYTHEON KING AIR A100;A100;1-1-2014;
437;4;BEECH BARON B-58;RAYTHEON BEECHCRAFT;RAYTHEON BEECHCRAFT BARON B-58;BARON;1-6-2008;
606;6;BEECHCRAFT PREMIER;RAYTHEON BEECHCRAFT;RAYTHEON BEECHRAFT 390 PREMIER I;PREMIER ;1-7-2009;
642;6;BEECH HAWKER 400XP;RAYTHEON BEECHCRAFT;RAYTHEON BEECHCRAFT HAWKER 400XP;HAWKER ;1-1-2009;
684;6;BEECH HAWKER 800XP;RAYTHEON BEECHCRAFT;RAYTHEON BEECHCRAFT HAWKER 800XP;800XP;1-7-2009;
360;3;ROBINSON R44;ROBINSON;ROBINSON R44;R44;1-6-2002;
7;0;AERO COMMANDER 200;ROCKWELL;AERO COMMANDER 200;COMMANDR;1-1-1990;
103;2;AERO COMANDR 500/6;ROCKWELL;AERO COMMANDER (500/600 SERIES EXCPT 680FL);COMMANDR;1-1-1990;
104;2;AERO COMANDR 680FL;ROCKWELL;GRAND COMMANDER 680FL;COMMANDR;1-1-1990;
410;4;ROCKWELL 680-W/690;ROCKWELL;ROCKWELL TURBO-COMMANDER 680-W/690;TCOMMNDR;1-1-1990;
611;6;AERO COMMNDER 1121;ROCKWELL;AERO COMMANDER 1121;COMMANDR;1-1-1990;
670;6;ROCKWELL SABRELINR;ROCKWELL;ROCKWELL SABRELINER;SABRELNR;1-1-1990;
432;4;SAAB 2000;SAAB;SAAB 2000;SA2000;1-1-2016;
456;4;SAAB-FAIRCHD 340/B;SAAB-FAIRCHILD;SAAB-FAIRCHILD 340/B;SF-340/B;1-1-1990;
459;4;SAAB-FRCHILD 340/A;SAAB-FAIRCHILD;SAAB-FAIRCHILD 340/A;SF-340/A;1-9-2005;
487;4;SHORTS 330;SHORT BROS.;SHORTS 330;SHORT330;1-1-1990;
489;4;SHORTS 360;SHORT BROS.;SHORTS 360;SHORT360;1-1-1990;
560;5;SHORTS-BELFAST-SH5;SHORT BROS.;SHORTS BELFAST FREIGHTER-SH5;SH5;1-1-1990;
486;4;SHORT HARLAND SC-7;SHORT BROS. ;SHORTS HARLAND SC-7 SKYVAN;SKYVAN;1-1-1990;
280;5;SIKORSKY VS-44A;SIKORSKY;SIKORSKY VS-44A (AMPHIBIAN);VS-44A;1-1-1990;
380;3;SIKORSKY S-51;SIKORSKY;SIKORSKY S-51;S-51;1-1-1990;
381;3;SIKORSKY S-55;SIKORSKY;SIKORSKY S-55;S-55;1-1-1990;
385;3;SIKORSKY S-58A/B/C;SIKORSKY;SIKORSKY S-58A/B/C;S-58;1-1-1990;
386;3;SIKORSKY S-61N;SIKORSKY;SIKORSKY S-61N;S-61N;1-1-1990;
387;3;SIKORSKY S-61;SIKORSKY;SIKORSKY S-61;S-61;1-1-1990;
388;3;SIKORSKY S-61L;SIKORSKY;SIKORSKY S-61L;S-61L;1-1-1990;
389;3;SIKORSKY S-62/A;SIKORSKY;SIKORSKY S-62/A;S-62/A;1-1-1990;
390;3;SIKORSKY S-76;SIKORSKY;SIKORSKY S-76;S-76;1-10-2002;
431;4;SOCATA TBM850;SOCATA;SOCATA TBM850;TBM850;1-9-2010;
433;4;SOCATA TBM-700;SOCATA;SOCATA TBM-700;TBM-700;1-9-2006;
85;0;STINSON SR-9;STINSON;STINSON SR-9;SR-9;1-1-1990;
87;0;STINSON V-77;STINSON;STINSON V-77;V-77;1-1-1990;
88;0;STINSON SR-10E;STINSON;STINSON SR-10E BUSHMAN;BUSHMAN;1-1-1990;
97;0;STIN.FW 300-450 HP;STINSON;STINSON F.W. 300-450 HP;STNSN FW;1-1-1950;
98;0;STIN.FW LT 300 HP;STINSON;STINSON 0-299 HP;STNSN FW;1-1-1950;
303;3;SUD ALOUETTE;SUD AVIATION;SUD ALOUETTE;ALOUETTE;1-1-1990;
714;6;SUKHOI SUPERJ 100;SUKHOI;SUKHOI SUPERJET 100;SSJ-100;1-7-2014;
462;4;SWEARINGEN MERLIN;SWEARINGEN;SWEARINGEN METRO MERLIN;MERLIN;1-1-1990;
649;6;TUPOLEV TU-204;TUPOLEV;TUPOLEV TU-204-300;TU-204;1-12-2007;
780;7;TUPOLEV 154;TUPOLEV;TUPOLEV TU-154;TU-154;1-1-1990;
580;5;VV-700;VICKERS;VICKERS VISCOUNT 700/744/745/745D;VV-700;1-1-1990;
584;5;VV-800;VICKERS;VICKERS VISCOUNT V800/810/812;VV-800;1-1-1990;
490;4;VOLPAR TURBO 18;VOLPAR;VOLPAR TURBO 18;VOLPAR18;1-1-1990;
396;3;WESTLAND SR-N5;WESTLAND;WESTLAND SR-N5 (ACV);SR-N5;1-1-1990;
792;7;YAKOLEV 42;YAKOLEV;YAKOLEV YAK-42;YAK-42;1-1-1990;
91;0;FLT/AMPHIB TURBINE;;FLOAT/AMPHIB TURBINE;FLT/AMPH;1-1-1990;
92;0;PISTON-LT 450 HP;;FLOAT/AMPHIB PISTON-LT 450 HP;FLT/AMPH;1-1-1990;
93;0;PISTON-450+ HP;;FLOAT/AMPHIB PISTON-450+ HP;FLT/AMPH;1-1-1990;
94;0;LAND-TURBINE;;LAND-TURBINE;LAND;1-1-1990;
95;0;PISTON-LT 450 HP;;LAND-PISTON-LT 450 HP;LAND;1-1-1990;
96;0;PISTON-450+ HP;;LAND-PISTON-450+ HP;LAND;1-1-1990;
