AC_TYPEID;AC_GROUP;SSD_NAME;MANUFACTURER;LONG_NAME;SHORT_NAME;BEGIN_DATE;END_DATE
639;6;CITATIONJET/CJ;CESSNA;CESSNA CITATIONJET/CJ1/CJ2/CJ3;CITATNJ;1-12-2003;
646;6;CSSNA CITATIONIII;CESSNA;CESSNA CITATION X MODEL 650/550B/550XL;CITATNX;1-6-1978;
647;6;CSSNA CITATION X;CESSNA;CESSNA CITATION X MODEL CE750 X;CE-750X;1-9-2006;
653;6;CESSNA CE-680 ;CESSNA;CESSNA CE-680 CITATION SOVEREIGN;CE-680;1-6-2008;
685;6;CESSNA 510/560XL ;CESSNA;CESSNA 510 MUSTANG/560XL CITATION EXCEL;CE-560XL;1-1-2010;
130;2;C-28 5ACF PBY;CONSOLIDATED VULTEE;C-28 5ACF PBY;PBY;1-1-1990;
132;4;C-28 5ACF-PBY EMQ;CONSOLIDATED VULTEE;C-28 5ACF-PBY-EMQ;PBY-EMQ;1-1-1990;
412;4;CASA 212;CONSTRUCCIONES AERONAUTICAS,SA;CASA/NURTANIO C212 AVIOCAR;C212;1-1-1990;
413;4;CASA 235;CONSTRUCCIONES AERONAUTICAS,SA;CASA 235;C 235;1-1-1990;
140;4;CONVAIR CV-240;CONVAIR;CONVAIR CV-240;CV-240;1-1-1990;
143;4;CONVAIR CV-340/440;CONVAIR;CONVAIR CV-340/440;CV-340/4;1-1-1990;
420;4;CONVAIR CV-540;CONVAIR;CONVAIR CV-540;CV-540;1-1-1990;
430;4;CONVAIR CV-580;CONVAIR;CONVAIR CV-580;CV-580;1-1-1990;
435;4;CONVAIR CV-600;CONVAIR;CONVAIR CV-600;CV-600;1-1-1990;
440;4;CONVAIR CV-640;CONVAIR;CONVAIR CV-640;CV-640;1-1-1990;
445;4;CONVAIR CV-660;CONVAIR;CONVAIR CV-660;CV-660;1-1-1990;
825;8;CONVAIR 880;CONVAIR;CONVAIR 880 (CV-22/22M);CV-880;1-1-1990;
830;8;CONVAIR 990;CONVAIR;CONVAIR 990 CORONADO (CV-30);CORONADO;1-1-1990;
150;4;CURTISS C46 SERIES;CURTISS-WRIGHT;CURTISS C46/20T/A/D/F/R COMMANDO;COMMANDO;1-1-1990;
682;6;DASSAULT 2000;DASSAULT ;DASSAULT FALCON 2000EX/2000LXS;DA-2000;1-9-2006;
770;7;FALCON 900;DASSAULT FALCON;DASSAULT FALCON 900/900EX;FA-900;1-10-2002;
771;7;FALCON 50;DASSAULT FALCON;DASSAULT FALCON 50;FA-50;1-10-2002;
774;6;DASSAULT FALCON ;DASSAULT FALCON;DASSAULT FALCON 2000;DA 2000;1-1-2012;
775;7;DASSAULT FALCON 7X;DASSAULT FALCON;DASSAULT FALCON 7X;FALCON;1-10-2008;
681;6;DASSAULT FALCON;DASSAULT-BREGUET;DASSAULT-BREGUET MYSTERE-FALCON;FALCON;1-1-1990;
482;4;DHC8-Q400  DASH-8;DEHAVILLAND;DEHAVILLAND DHC8-400 DASH-8;DASH8-Q4;1-1-1999;
