code|name|updated
76Y|Boeing 767-300 Freighter|2015-10-05T22:27:42+02:00
772|Boeing 777-200/200ER|2015-10-05T22:27:42+02:00
773|Boeing 777-300|2015-10-05T22:27:42+02:00
777|Boeing 777|2015-10-05T22:27:42+02:00
77L|Boeing 777-200LR|2015-10-05T22:27:42+02:00
77W|Boeing 777-300ER|2015-10-05T22:27:42+02:00
A26|Antonov An-26|2015-10-05T22:27:42+02:00
A28|Antonov An-28|2015-10-05T22:27:42+02:00
A30|Antonov An-30|2015-10-05T22:27:42+02:00
A32|Antonov An-32|2015-10-05T22:27:42+02:00
A40|Antonov An-140|2015-10-05T22:27:42+02:00
A4F|Antonov An-124 Ruslan|2015-10-05T22:27:42+02:00
A81|Antonov An-148-100|2015-10-05T22:27:42+02:00
AB3|Airbus Industrie A300|2015-10-05T22:27:42+02:00
AB4|Airbus Industrie A300B2/B4/C4|2015-10-05T22:27:42+02:00
AB6|Airbus Industrie A300-600|2015-10-05T22:27:42+02:00
ABB|Airbus Industrie A300-600ST Beluga|2015-10-05T22:27:42+02:00
ABF|Airbus Industrie A300 Freighter|2015-10-05T22:27:42+02:00
ABX|Airbus Industrie A300B4/C4/F4 Freighter|2015-10-05T22:27:42+02:00
ABY|Airbus Industrie A300-600 Freighter|2015-10-05T22:27:42+02:00
ACD|Twin Aero Commander/Turbo/Jetprop|2015-10-05T22:27:42+02:00
AGH|Agusta A109|2015-10-05T22:27:42+02:00
AN4|Antonov An-24|2015-10-05T22:27:42+02:00
AN6|Antonov An-26/30/32|2015-10-05T22:27:42+02:00
AN7|Antonov An-72/74|2015-10-05T22:27:42+02:00
ANF|Antonov An-12|2015-10-05T22:27:42+02:00
AR1|Avro RJ100 Avroliner|2015-10-05T22:27:42+02:00
AR7|Avro RJ70 Avroliner|2015-10-05T22:27:42+02:00
AR8|Avro RJ85 Avroliner|2015-10-05T22:27:42+02:00
ARJ|Avro RJ Avroliner|2015-10-05T22:27:42+02:00
ARX|Avro RJX|2015-10-05T22:27:42+02:00
AT4|Aerospatiale/Alenia ATR 42-300/320|2015-10-05T22:27:42+02:00
AT5|Aerospatiale/Alenia ATR 42-500|2015-10-05T22:27:42+02:00
AT7|Aerospatiale/Alenia ATR 72|2015-10-05T22:27:42+02:00
ATP|British Aerospace ATP|2015-10-05T22:27:42+02:00
ATR|Aerospatiale/Alenia ATR|2015-10-05T22:27:42+02:00
AX1|Avro RJX100|2015-10-05T22:27:42+02:00
AX8|Avro RJX85|2015-10-05T22:27:42+02:00
B11|British Aerospace BAC One Eleven|2015-10-05T22:27:42+02:00
B12|British Aerospace BAC One Eleven 200|2015-10-05T22:27:42+02:00
B13|British Aerospace BAC One Eleven 300|2015-10-05T22:27:42+02:00
B14|British Aerospace BAC One Eleven 400|2015-10-05T22:27:42+02:00
B15|British Aerospace BAC One Eleven 500|2015-10-05T22:27:42+02:00
B72|Boeing 720B|2015-10-05T22:27:42+02:00
BE1|Beechcraft Beech 1900|2015-10-05T22:27:42+02:00
BE2|Beechcraft twin piston|2015-10-05T22:27:42+02:00
BE9|Beechcraft Airliner 99|2015-10-05T22:27:42+02:00
BEC|Beechcraft Light Aircraft|2015-10-05T22:27:42+02:00
BEH|Beechcraft Beech 1900D|2015-10-05T22:27:42+02:00
BES|Beechcraft Beech 1900C|2015-10-05T22:27:42+02:00
BET|Beechcraft Light Aircraft Twin Prop|2015-10-05T22:27:42+02:00
BH2|Bell Helicopters|2015-10-05T22:27:42+02:00
BNI|Pilatus Britten-Norman BN-2A/B|2015-10-05T22:27:42+02:00
BNT|Pilatus Britten-Norman BN-2A Trislander|2015-10-05T22:27:42+02:00
BUS|Non Aircraft - Bus|2015-10-05T22:27:42+02:00
CCJ|Canadair Challenger|2015-10-05T22:27:42+02:00
CD2|Government Aircraft Factories N22B/N24A Nomad|2015-10-05T22:27:42+02:00
